name,id,version,github_url,Vi-1,CMT_Vi+1,Vi+1,CMT_Vi+1
org.apache.wicket:wicket-core,353,8.11.0,https://github.com/apache/wicket,8.10.0,,8.12.0,
dom4j:dom4j,18,1.6.1,https://github.com/dom4j/dom4j,1.5.2,,1.6.1,
org.apache.poi:poi,22,3.10-beta1,https://github.com/apache/poi,3.9,,3.10-beta2,
com.netflix.conductor:conductor-core,34,1.8.4,https://github.com/Netflix/conductor,1.8.3,,1.8.5,
com.netflix.conductor:conductor-core,34,1.8.8,https://github.com/Netflix/conductor,1.8.7,,1.8.9,
com.netflix.conductor:conductor-core,34,2.12.3,https://github.com/Netflix/conductor,2.12.2,,2.12.4,
com.netflix.conductor:conductor-core,34,2.12.5,https://github.com/Netflix/conductor,2.12.4,,2.13.0,
com.netflix.conductor:conductor-core,34,2.12.0,https://github.com/Netflix/conductor,2.11.0,,2.12.1,
com.netflix.conductor:conductor-core,34,1.7.0,https://github.com/Netflix/conductor,1.7.0-rc12,,1.7.1,
com.netflix.conductor:conductor-core,34,1.7.2,https://github.com/Netflix/conductor,1.7.2-rc7,,1.7.3,
com.netflix.conductor:conductor-core,34,1.7.3,https://github.com/Netflix/conductor,1.7.2,,1.7.4,
com.netflix.conductor:conductor-core,34,2.24.5-alpha.1,https://github.com/Netflix/conductor,2.24.0,,2.24.5-alpha.2,
com.netflix.conductor:conductor-core,34,1.9.2,https://github.com/Netflix/conductor,1.9.1,,1.9.3,
com.netflix.conductor:conductor-core,34,1.9.3,https://github.com/Netflix/conductor,1.9.2,,1.9.4,
com.netflix.conductor:conductor-core,34,1.12.11,https://github.com/Netflix/conductor,1.12.9,,1.12.12,
com.netflix.conductor:conductor-core,34,1.9.6,https://github.com/Netflix/conductor,1.9.5,,1.9.7,
com.netflix.conductor:conductor-core,34,2.13.5,https://github.com/Netflix/conductor,2.13.4-alpha.3,,2.14.0,
com.netflix.conductor:conductor-core,34,1.8.0,https://github.com/Netflix/conductor,1.8.0-alpha-1,,1.8.1,
com.netflix.conductor:conductor-core,34,2.25.3,https://github.com/Netflix/conductor,2.25.2-alpha.2,,2.25.4,
com.netflix.conductor:conductor-core,34,2.25.7,https://github.com/Netflix/conductor,2.25.6,,2.25.8-beta,
com.netflix.conductor:conductor-core,34,2.14.7,https://github.com/Netflix/conductor,2.14.6,,2.15.0-rc.1,
com.netflix.conductor:conductor-core,34,2.8.2-alpha,https://github.com/Netflix/conductor,2.8.1,,2.8.2,
com.netflix.conductor:conductor-core,34,1.10.13,https://github.com/Netflix/conductor,1.10.12,,1.10.14,
com.netflix.conductor:conductor-core,34,2.28.2,https://github.com/Netflix/conductor,2.28.1,,2.28.3,
com.netflix.conductor:conductor-core,34,2.26.2-beta.2,https://github.com/Netflix/conductor,2.26.2-beta.1,,2.27.0-beta,
com.netflix.conductor:conductor-core,34,2.26.2-beta.1,https://github.com/Netflix/conductor,2.26.2-beta,,2.26.2-beta.2,
com.netflix.conductor:conductor-core,34,1.11.0,https://github.com/Netflix/conductor,1.10.18,,1.11.1,
com.netflix.conductor:conductor-core,34,2.20.0,https://github.com/Netflix/conductor,2.19.0,,2.21.0-alpha,
com.netflix.conductor:conductor-core,34,2.17.0,https://github.com/Netflix/conductor,2.16.6-alpha.2,,2.18.0-beta.1,
com.netflix.conductor:conductor-core,34,2.29.0,https://github.com/Netflix/conductor,2.28.4-alpha.4,,2.29.1,
com.netflix.conductor:conductor-core,34,1.12.4,https://github.com/Netflix/conductor,1.12.4-rc3,,1.12.5,
com.netflix.conductor:conductor-core,34,1.12.1,https://github.com/Netflix/conductor,1.12.0,,1.12.2,
com.netflix.conductor:conductor-core,34,2.3.0,https://github.com/Netflix/conductor,2.2.2,,2.4.0,
com.netflix.conductor:conductor-core,34,2.22.4,https://github.com/Netflix/conductor,2.22.3,,2.22.5-alpha,
com.netflix.conductor:conductor-core,34,1.7.4,https://github.com/Netflix/conductor,1.7.3,,1.7.5,
com.netflix.conductor:conductor-core,34,2.19.0,https://github.com/Netflix/conductor,2.18.1-alpha.6,,2.20.0,
com.netflix.conductor:conductor-core,34,1.7.0-rc12,https://github.com/Netflix/conductor,1.7.0-rc11,,1.7.0,
com.netflix.conductor:conductor-core,34,1.10.3,https://github.com/Netflix/conductor,1.10.1,,1.10.4,
com.fasterxml.jackson.core:jackson-databind,53,2.12.2,https://github.com/FasterXML/jackson-databind,2.12.1,,2.12.3,
com.fasterxml.jackson.core:jackson-databind,53,2.5.0,https://github.com/FasterXML/jackson-databind,2.5.0-rc1,,2.5.1,
com.fasterxml.jackson.core:jackson-databind,53,2.6.7.4,https://github.com/FasterXML/jackson-databind,2.6.7.3,,2.6.7.5,
com.fasterxml.jackson.core:jackson-databind,53,2.4.1.2,https://github.com/FasterXML/jackson-databind,2.4.1.1,,2.4.1.3,
