name,version,software_id
com.h2database:h2,1.1.119,93
com.h2database:h2,1.1.110,93
com.h2database:h2,1.1.111,93
com.h2database:h2,1.1.109,93
com.h2database:h2,1.0.20070617,93
com.h2database:h2,1.4.179,93
com.h2database:h2,1.4.180,93
com.h2database:h2,1.4.189,93
com.h2database:h2,1.0.78,93
com.h2database:h2,1.0.79,93
com.h2database:h2,1.0.74,93
com.h2database:h2,1.0.75,93
com.h2database:h2,1.0.76,93
com.h2database:h2,1.0.77,93
com.h2database:h2,1.0.70,93
com.h2database:h2,1.0.71,93
com.h2database:h2,1.0.72,93
com.h2database:h2,1.0.73,93
com.h2database:h2,1.2.142,93
com.h2database:h2,1.2.143,93
com.h2database:h2,1.4.192,93
com.h2database:h2,1.2.140,93
com.h2database:h2,1.2.141,93
com.h2database:h2,1.2.147,93
com.h2database:h2,1.2.144,93
com.h2database:h2,1.2.145,93
com.h2database:h2,1.0.67,93
com.h2database:h2,1.1.101,93
com.h2database:h2,1.3.172,93
com.h2database:h2,1.0.68,93
com.h2database:h2,1.1.102,93
com.h2database:h2,1.3.173,93
com.h2database:h2,1.0.69,93
com.h2database:h2,1.1.103,93
com.h2database:h2,1.3.174,93
com.h2database:h2,1.1.104,93
com.h2database:h2,1.3.175,93
com.h2database:h2,1.0.63,93
com.h2database:h2,1.1.105,93
com.h2database:h2,1.0.64,93
com.h2database:h2,1.1.106,93
com.h2database:h2,1.0.65,93
com.h2database:h2,1.1.107,93
com.h2database:h2,1.3.170,93
com.h2database:h2,1.0.66,93
com.h2database:h2,1.1.108,93
com.h2database:h2,1.3.171,93
com.h2database:h2,1.0.60,93
com.h2database:h2,1.0.61,93
com.h2database:h2,1.0.62,93
com.h2database:h2,1.3.176,93
com.h2database:h2,1.0.20061217,93
com.h2database:h2,1.1.100,93
com.h2database:h2,1.2.131,93
com.h2database:h2,1.2.132,93
com.h2database:h2,1.2.130,93
com.h2database:h2,1.2.139,93
com.h2database:h2,1.2.137,93
com.h2database:h2,1.2.138,93
com.h2database:h2,1.2.135,93
com.h2database:h2,1.2.136,93
com.h2database:h2,1.2.133,93
com.h2database:h2,1.2.134,93
io.swagger:swagger-codegen,2.1.1,110
net.bull.javamelody:javamelody-core,1.8.1,116
org.codehaus.jackson:jackson-mapper-asl,1.6.5,159
org.codehaus.jackson:jackson-mapper-asl,1.8.3,159
org.codehaus.jackson:jackson-mapper-asl,1.6.6,159
org.codehaus.jackson:jackson-mapper-asl,1.8.4,159
org.codehaus.jackson:jackson-mapper-asl,1.6.7,159
org.codehaus.jackson:jackson-mapper-asl,1.8.5,159
org.codehaus.jackson:jackson-mapper-asl,1.8.6,159
org.codehaus.jackson:jackson-mapper-asl,1.6.9,159
org.codehaus.jackson:jackson-mapper-asl,1.8.7,159
org.codehaus.jackson:jackson-mapper-asl,1.8.11,159
org.codehaus.jackson:jackson-mapper-asl,1.8.8,159
org.codehaus.jackson:jackson-mapper-asl,1.8.10,159
org.codehaus.jackson:jackson-mapper-asl,1.8.9,159
org.codehaus.jackson:jackson-mapper-asl,1.3.0,159
org.codehaus.jackson:jackson-mapper-asl,1.3.1,159
org.codehaus.jackson:jackson-mapper-asl,1.3.2,159
org.codehaus.jackson:jackson-mapper-asl,1.5.0,159
org.codehaus.jackson:jackson-mapper-asl,1.3.3,159
org.codehaus.jackson:jackson-mapper-asl,1.5.1,159
org.codehaus.jackson:jackson-mapper-asl,1.3.4,159
org.codehaus.jackson:jackson-mapper-asl,1.5.2,159
org.codehaus.jackson:jackson-mapper-asl,1.7.0,159
org.codehaus.jackson:jackson-mapper-asl,1.3.5,159
org.codehaus.jackson:jackson-mapper-asl,1.5.3,159
org.codehaus.jackson:jackson-mapper-asl,1.7.1,159
org.codehaus.jackson:jackson-mapper-asl,1.5.4,159
org.codehaus.jackson:jackson-mapper-asl,1.7.2,159
org.codehaus.jackson:jackson-mapper-asl,1.9.0,159
org.codehaus.jackson:jackson-mapper-asl,1.5.5,159
org.codehaus.jackson:jackson-mapper-asl,1.7.3,159
org.codehaus.jackson:jackson-mapper-asl,1.9.1,159
org.codehaus.jackson:jackson-mapper-asl,0.9.9,159
org.codehaus.jackson:jackson-mapper-asl,0.9.8,159
org.codehaus.jackson:jackson-mapper-asl,1.1.1,159
org.codehaus.jackson:jackson-mapper-asl,0.9.9-2,159
org.codehaus.jackson:jackson-mapper-asl,1.5.6,159
org.codehaus.jackson:jackson-mapper-asl,1.7.4,159
org.codehaus.jackson:jackson-mapper-asl,1.9.2,159
org.codehaus.jackson:jackson-mapper-asl,1.5.7,159
org.codehaus.jackson:jackson-mapper-asl,1.7.5,159
org.codehaus.jackson:jackson-mapper-asl,1.9.3,159
org.codehaus.jackson:jackson-mapper-asl,1.5.8,159
org.codehaus.jackson:jackson-mapper-asl,1.7.6,159
org.codehaus.jackson:jackson-mapper-asl,1.9.4,159
org.codehaus.jackson:jackson-mapper-asl,1.7.7,159
org.codehaus.jackson:jackson-mapper-asl,1.9.5,159
org.codehaus.jackson:jackson-mapper-asl,0.9.9-6,159
org.codehaus.jackson:jackson-mapper-asl,1.7.8,159
org.codehaus.jackson:jackson-mapper-asl,1.9.6,159
org.codehaus.jackson:jackson-mapper-asl,0.9.9-5,159
org.codehaus.jackson:jackson-mapper-asl,1.7.9,159
org.codehaus.jackson:jackson-mapper-asl,1.9.7,159
org.codehaus.jackson:jackson-mapper-asl,0.9.9-4,159
org.codehaus.jackson:jackson-mapper-asl,1.9.8,159
org.codehaus.jackson:jackson-mapper-asl,0.9.9-3,159
org.codehaus.jackson:jackson-mapper-asl,1.9.9,159
org.codehaus.jackson:jackson-mapper-asl,1.9.10,159
org.codehaus.jackson:jackson-mapper-asl,1.9.11,159
org.codehaus.jackson:jackson-mapper-asl,1.2.1,159
org.codehaus.jackson:jackson-mapper-asl,1.4.1,159
org.codehaus.jackson:jackson-mapper-asl,1.4.2,159
org.codehaus.jackson:jackson-mapper-asl,1.6.0,159
org.codehaus.jackson:jackson-mapper-asl,1.4.3,159
org.codehaus.jackson:jackson-mapper-asl,1.6.1,159
org.codehaus.jackson:jackson-mapper-asl,1.4.4,159
org.codehaus.jackson:jackson-mapper-asl,1.6.2,159
org.codehaus.jackson:jackson-mapper-asl,1.8.0,159
org.codehaus.jackson:jackson-mapper-asl,1.4.5,159
