vuln_cves,Direct
"CVE-2020-10683
CVE-2018-1000632
","True
True
"
,
"CVE-2020-10683
CVE-2018-1000632
","True
True
"
"CVE-2020-10683
CVE-2018-1000632
","True
True
"
"CVE-2020-10683
CVE-2018-1000632
CVE-2022-23437
CVE-2012-0881
CVE-2009-2625
","True
True
False
False
False
"
"CVE-2020-10683
CVE-2018-1000632
CVE-2022-23437
CVE-2012-0881
CVE-2009-2625
","True
True
False
False
False
"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
,
,
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
,
,
,
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
,
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2019-17571
","True
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
"CVE-2017-12626
CVE-2022-23305
CVE-2022-23302
CVE-2021-4104
CVE-2020-15250
CVE-2019-17571
","True
False
False
False
False
False
"
